duration_ms_x,explicit,id,name,popularity,track_number,artist,acousticness,analysis_url,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
198946,FALSE,5cj54CVe4pQZ9cUKgbsZrG,Despacito x Shape Of You,63,8,Pentatonix,0.0582,https://api.spotify.com/v1/audio-analysis/5cj54CVe4pQZ9cUKgbsZrG,0.691,198947,0.631,0,5,0.169,-7.239,1,0.0377,93.984,4,https://api.spotify.com/v1/tracks/5cj54CVe4pQZ9cUKgbsZrG,audio_features,spotify:track:5cj54CVe4pQZ9cUKgbsZrG,0.577
238426,FALSE,0Jc8qF1mUPo1A96HE9QxZz,Pop,56,1,*NSYNC,0.0341,https://api.spotify.com/v1/audio-analysis/0Jc8qF1mUPo1A96HE9QxZz,0.706,238427,0.861,0,11,0.127,-6.684,1,0.154,119.946,4,https://api.spotify.com/v1/tracks/0Jc8qF1mUPo1A96HE9QxZz,audio_features,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,0.923
171520,FALSE,5P40YyCrdZRsoj2vTbSyVI,Attention,62,1,Pentatonix,0.0661,https://api.spotify.com/v1/audio-analysis/5P40YyCrdZRsoj2vTbSyVI,0.533,171520,0.61,0,7,0.225,-7.037,1,0.108,204.308,4,https://api.spotify.com/v1/tracks/5P40YyCrdZRsoj2vTbSyVI,audio_features,spotify:track:5P40YyCrdZRsoj2vTbSyVI,0.734
202600,FALSE,6x9j8uAO8HBl9d1xkvTkoR,Stay,61,6,Pentatonix,0.185,https://api.spotify.com/v1/audio-analysis/6x9j8uAO8HBl9d1xkvTkoR,0.384,202600,0.501,0,10,0.114,-6.067,0,0.0363,102.147,4,https://api.spotify.com/v1/tracks/6x9j8uAO8HBl9d1xkvTkoR,audio_features,spotify:track:6x9j8uAO8HBl9d1xkvTkoR,0.371
224052,FALSE,5mvXiroNv8swMbCaKOwuuN,Pop Dat,58,1,4B,0.00441,https://api.spotify.com/v1/audio-analysis/5mvXiroNv8swMbCaKOwuuN,0.63,224052,0.851,0.0218,1,0.0939,-4.61,1,0.319,150.054,4,https://api.spotify.com/v1/tracks/5mvXiroNv8swMbCaKOwuuN,audio_features,spotify:track:5mvXiroNv8swMbCaKOwuuN,0.573
262106,FALSE,47StfXJOnGLhYfMEWgoTiX,Footsteps,62,1,Pop Evil,0.0139,https://api.spotify.com/v1/audio-analysis/47StfXJOnGLhYfMEWgoTiX,0.641,262107,0.732,2.61E-06,5,0.062,-7.57,1,0.0795,92.057,4,https://api.spotify.com/v1/tracks/47StfXJOnGLhYfMEWgoTiX,audio_features,spotify:track:47StfXJOnGLhYfMEWgoTiX,0.763
191546,FALSE,4GfCvy3t1u4lMAFldhB7EF,Finesse,61,2,Pentatonix,0.194,https://api.spotify.com/v1/audio-analysis/4GfCvy3t1u4lMAFldhB7EF,0.763,191547,0.837,0,2,0.0503,-6.107,0,0.0448,105.008,4,https://api.spotify.com/v1/tracks/4GfCvy3t1u4lMAFldhB7EF,audio_features,spotify:track:4GfCvy3t1u4lMAFldhB7EF,0.906
180680,FALSE,4Ry81RnXmSSmSyqtjGlMkk,Feel It Still,61,7,Pentatonix,0.0547,https://api.spotify.com/v1/audio-analysis/4Ry81RnXmSSmSyqtjGlMkk,0.742,180680,0.726,0,11,0.0803,-5.755,1,0.0582,77.48,4,https://api.spotify.com/v1/tracks/4Ry81RnXmSSmSyqtjGlMkk,audio_features,spotify:track:4Ry81RnXmSSmSyqtjGlMkk,0.93
178360,FALSE,0M2ASyWJhjvc4AzneR7sG6,New Rules x Are You That Somebody?,60,3,Pentatonix,0.0799,https://api.spotify.com/v1/audio-analysis/0M2ASyWJhjvc4AzneR7sG6,0.764,178360,0.42,0,6,0.0841,-6.986,0,0.0553,130.019,4,https://api.spotify.com/v1/tracks/0M2ASyWJhjvc4AzneR7sG6,audio_features,spotify:track:0M2ASyWJhjvc4AzneR7sG6,0.803
161506,FALSE,6k1II1BD0Pd2meZYgbxKnI,Issues,60,9,Pentatonix,0.17,https://api.spotify.com/v1/audio-analysis/6k1II1BD0Pd2meZYgbxKnI,0.705,161507,0.366,0,8,0.0697,-5.921,1,0.0357,120.127,4,https://api.spotify.com/v1/tracks/6k1II1BD0Pd2meZYgbxKnI,audio_features,spotify:track:6k1II1BD0Pd2meZYgbxKnI,0.626
214853,FALSE,5XDGy76kcOMDr7GOyz8CTG,Praying,60,10,Pentatonix,0.169,https://api.spotify.com/v1/audio-analysis/5XDGy76kcOMDr7GOyz8CTG,0.252,214853,0.431,0,2,0.0902,-6.633,1,0.0364,84.713,4,https://api.spotify.com/v1/tracks/5XDGy76kcOMDr7GOyz8CTG,audio_features,spotify:track:5XDGy76kcOMDr7GOyz8CTG,0.354
155786,FALSE,0wkiCJqCtI8keITfZ642jg,Havana,60,4,Pentatonix,0.231,https://api.spotify.com/v1/audio-analysis/0wkiCJqCtI8keITfZ642jg,0.726,155787,0.548,3.29E-05,7,0.385,-5.851,0,0.0287,113.99,4,https://api.spotify.com/v1/tracks/0wkiCJqCtI8keITfZ642jg,audio_features,spotify:track:0wkiCJqCtI8keITfZ642jg,0.749
237316,TRUE,2XFP42EK7jg4bGHYXRcxV3,Deadman's Wonderland,62,4,Trippie Redd,0.858,https://api.spotify.com/v1/audio-analysis/2XFP42EK7jg4bGHYXRcxV3,0.45,237317,0.69,0,0,0.0873,-8.218,1,0.179,119.657,5,https://api.spotify.com/v1/tracks/2XFP42EK7jg4bGHYXRcxV3,audio_features,spotify:track:2XFP42EK7jg4bGHYXRcxV3,0.232
203760,FALSE,6np01cm40QA8kSmBlcgvfJ,Sorry Not Sorry,60,11,Pentatonix,0.0173,https://api.spotify.com/v1/audio-analysis/6np01cm40QA8kSmBlcgvfJ,0.695,203760,0.607,0,6,0.0716,-5.512,1,0.0495,145.015,4,https://api.spotify.com/v1/tracks/6np01cm40QA8kSmBlcgvfJ,audio_features,spotify:track:6np01cm40QA8kSmBlcgvfJ,0.945
231963,FALSE,7L9GgvMlQ3wcSrDoeGWAej,Waking Lions,56,1,Pop Evil,1.94E-05,https://api.spotify.com/v1/audio-analysis/7L9GgvMlQ3wcSrDoeGWAej,0.501,231963,0.971,0.0464,6,0.23,-3.051,1,0.189,143.052,4,https://api.spotify.com/v1/tracks/7L9GgvMlQ3wcSrDoeGWAej,audio_features,spotify:track:7L9GgvMlQ3wcSrDoeGWAej,0.659
128013,FALSE,6mH3qVIeOsnQIAho5eWwhH,Cups (Pitch Perfectâ€™s â€œWhen Iâ€™m Goneâ€ù) - Pop Version,63,1,Anna Kendrick,0.052,https://api.spotify.com/v1/audio-analysis/6mH3qVIeOsnQIAho5eWwhH,0.871,128013,0.442,0.00819,0,0.0381,-8.766,1,0.0958,129.964,4,https://api.spotify.com/v1/tracks/6mH3qVIeOsnQIAho5eWwhH,audio_features,spotify:track:6mH3qVIeOsnQIAho5eWwhH,0.769
235737,TRUE,2khkbmL11VFqKGMrcGIJB3,Out Of My Head (feat. Tove Lo and ALMA),67,2,Charli XCX,0.0736,https://api.spotify.com/v1/audio-analysis/2khkbmL11VFqKGMrcGIJB3,0.851,235737,0.709,0.00137,1,0.12,-5.157,0,0.0694,116.467,4,https://api.spotify.com/v1/tracks/2khkbmL11VFqKGMrcGIJB3,audio_features,spotify:track:2khkbmL11VFqKGMrcGIJB3,0.42
187680,TRUE,7lXKxlRUlB3J4qpTXB9Ar4,Band Pop (feat. Slim Dunkin),15,9,Waka Flocka Flame,0.0844,https://api.spotify.com/v1/audio-analysis/7lXKxlRUlB3J4qpTXB9Ar4,0.812,187680,0.876,0,5,0.489,-6.407,0,0.391,143.281,4,https://api.spotify.com/v1/tracks/7lXKxlRUlB3J4qpTXB9Ar4,audio_features,spotify:track:7lXKxlRUlB3J4qpTXB9Ar4,0.629
180808,TRUE,15VIPlqNYLgN6T43kBAClE,pop a pill,57,1,gianni & kyle,0.184,https://api.spotify.com/v1/audio-analysis/15VIPlqNYLgN6T43kBAClE,0.688,180808,0.551,0,0,0.159,-6.299,0,0.229,162.118,4,https://api.spotify.com/v1/tracks/15VIPlqNYLgN6T43kBAClE,audio_features,spotify:track:15VIPlqNYLgN6T43kBAClE,0.558
217880,FALSE,4ilzPm2qnev5hFdUz6dDyY,Trenches,59,3,Pop Evil,0.000175,https://api.spotify.com/v1/audio-analysis/4ilzPm2qnev5hFdUz6dDyY,0.547,217880,0.95,0.00956,0,0.166,-3.482,1,0.0577,100.008,4,https://api.spotify.com/v1/tracks/4ilzPm2qnev5hFdUz6dDyY,audio_features,spotify:track:4ilzPm2qnev5hFdUz6dDyY,0.594
196253,FALSE,5V2sX7luo5vAsnfp8mBA3m,Torn to Pieces,59,4,Pop Evil,0.0136,https://api.spotify.com/v1/audio-analysis/5V2sX7luo5vAsnfp8mBA3m,0.612,196253,0.654,1.16E-05,0,0.121,-5.455,1,0.0287,122.101,4,https://api.spotify.com/v1/tracks/5V2sX7luo5vAsnfp8mBA3m,audio_features,spotify:track:5V2sX7luo5vAsnfp8mBA3m,0.322
228160,TRUE,25G8NNFBnjXgWCGtyPa1Ax,Pop The Trunk,57,6,Yelawolf,0.129,https://api.spotify.com/v1/audio-analysis/25G8NNFBnjXgWCGtyPa1Ax,0.913,228160,0.666,0,2,0.109,-9.092,1,0.132,120.153,4,https://api.spotify.com/v1/tracks/25G8NNFBnjXgWCGtyPa1Ax,audio_features,spotify:track:25G8NNFBnjXgWCGtyPa1Ax,0.118
202010,FALSE,39GvWlUAF4Y3qzboUyvBkg,Candy Pop,65,1,TWICE,0.177,https://api.spotify.com/v1/audio-analysis/39GvWlUAF4Y3qzboUyvBkg,0.599,202010,0.943,2.60E-05,0,0.141,-1.457,1,0.0894,174.059,4,https://api.spotify.com/v1/tracks/39GvWlUAF4Y3qzboUyvBkg,audio_features,spotify:track:39GvWlUAF4Y3qzboUyvBkg,0.84
224760,FALSE,0azi9s5q3SfJjiVkO8XQ0R,Colors Bleed,58,2,Pop Evil,4.13E-05,https://api.spotify.com/v1/audio-analysis/0azi9s5q3SfJjiVkO8XQ0R,0.556,224761,0.954,0.33,11,0.316,-3.519,0,0.13,99.929,4,https://api.spotify.com/v1/tracks/0azi9s5q3SfJjiVkO8XQ0R,audio_features,spotify:track:0azi9s5q3SfJjiVkO8XQ0R,0.196
175058,TRUE,1VCHNbal0VtE2plMRzvoho,Weekend,66,1,Louis The Child,0.26,https://api.spotify.com/v1/audio-analysis/1VCHNbal0VtE2plMRzvoho,0.684,175059,0.774,0,7,0.108,-5.951,1,0.188,84.991,4,https://api.spotify.com/v1/tracks/1VCHNbal0VtE2plMRzvoho,audio_features,spotify:track:1VCHNbal0VtE2plMRzvoho,0.448
303533,TRUE,0SdKcxcVQbqtTAuPniQJtR,Pop That,55,10,French Montana,0.0659,https://api.spotify.com/v1/audio-analysis/0SdKcxcVQbqtTAuPniQJtR,0.734,303533,0.894,0,2,0.719,-1.886,1,0.133,138.037,4,https://api.spotify.com/v1/tracks/0SdKcxcVQbqtTAuPniQJtR,audio_features,spotify:track:0SdKcxcVQbqtTAuPniQJtR,0.596
162453,FALSE,6TGapnqEUkkSBanKyn5qYy,OutRight,56,2,Wild Party,0.00092,https://api.spotify.com/v1/audio-analysis/6TGapnqEUkkSBanKyn5qYy,0.54,162453,0.825,0,2,0.0488,-4.935,1,0.0563,148.059,4,https://api.spotify.com/v1/tracks/6TGapnqEUkkSBanKyn5qYy,audio_features,spotify:track:6TGapnqEUkkSBanKyn5qYy,0.608
283747,FALSE,2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,74,4,Eiffel 65,0.259,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,0.822,283748,0.969,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,0.765
165400,TRUE,1PQAocUDoT1Q90Sabu1MTu,Is She Gon Pop,59,19,J. Cole,0.0826,https://api.spotify.com/v1/audio-analysis/1PQAocUDoT1Q90Sabu1MTu,0.547,165400,0.747,1.48E-05,4,0.231,-8.597,0,0.351,83.295,4,https://api.spotify.com/v1/tracks/1PQAocUDoT1Q90Sabu1MTu,audio_features,spotify:track:1PQAocUDoT1Q90Sabu1MTu,0.216
309480,TRUE,7jWgkIrTDiB3vF8dm5AUyQ,Pop Thieves (Make It Feel Good),58,2,Childish Gambino,0.0746,https://api.spotify.com/v1/audio-analysis/7jWgkIrTDiB3vF8dm5AUyQ,0.544,309480,0.869,1.27E-05,5,0.102,-8.363,0,0.0836,104.622,4,https://api.spotify.com/v1/tracks/7jWgkIrTDiB3vF8dm5AUyQ,audio_features,spotify:track:7jWgkIrTDiB3vF8dm5AUyQ,0.0647
212271,FALSE,59JkwCdGIMTZYb0j75vebU,Bubble Pop!,58,2,HyunA,0.0731,https://api.spotify.com/v1/audio-analysis/59JkwCdGIMTZYb0j75vebU,0.833,212271,0.872,0.000839,10,0.292,-4.658,0,0.0578,145.973,4,https://api.spotify.com/v1/tracks/59JkwCdGIMTZYb0j75vebU,audio_features,spotify:track:59JkwCdGIMTZYb0j75vebU,0.774
187026,FALSE,15iosIuxC3C53BgsM5Uggs,All Night,60,2,Icona Pop,0.00274,https://api.spotify.com/v1/audio-analysis/15iosIuxC3C53BgsM5Uggs,0.6,187027,0.905,0,1,0.831,-3.41,0,0.0357,124.032,4,https://api.spotify.com/v1/tracks/15iosIuxC3C53BgsM5Uggs,audio_features,spotify:track:15iosIuxC3C53BgsM5Uggs,0.636
232933,TRUE,3qGHAKgjQruzj6doKkyEb5,Unlock It (feat. Kim Petras and Jay Park),60,8,Charli XCX,0.0585,https://api.spotify.com/v1/audio-analysis/3qGHAKgjQruzj6doKkyEb5,0.504,232933,0.711,1.83E-05,9,0.382,-5.864,1,0.0452,134.824,4,https://api.spotify.com/v1/tracks/3qGHAKgjQruzj6doKkyEb5,audio_features,spotify:track:3qGHAKgjQruzj6doKkyEb5,0.5
263240,FALSE,6vs9xToxh23nXF8sucqnfP,"Pop, Lock & Drop It",54,1,Huey,0.000756,https://api.spotify.com/v1/audio-analysis/6vs9xToxh23nXF8sucqnfP,0.745,263240,0.568,0,0,0.159,-8.332,1,0.164,144.14,4,https://api.spotify.com/v1/tracks/6vs9xToxh23nXF8sucqnfP,audio_features,spotify:track:6vs9xToxh23nXF8sucqnfP,0.493
238093,FALSE,4HjtHraeKy5wA4DA9o92HZ,Backseat (feat. Carly Rae Jepsen),59,1,Charli XCX,0.247,https://api.spotify.com/v1/audio-analysis/4HjtHraeKy5wA4DA9o92HZ,0.626,238093,0.607,1.56E-06,5,0.393,-5.139,1,0.0409,120.04,4,https://api.spotify.com/v1/tracks/4HjtHraeKy5wA4DA9o92HZ,audio_features,spotify:track:4HjtHraeKy5wA4DA9o92HZ,0.339
167741,FALSE,3hGB6zmV7vI5jPAJxTW6Br,Otter Pop (feat. Hollis),54,1,Shawn Wasabi,0.376,https://api.spotify.com/v1/audio-analysis/3hGB6zmV7vI5jPAJxTW6Br,0.8,167742,0.795,0.00112,0,0.493,-3.938,1,0.0281,92.979,4,https://api.spotify.com/v1/tracks/3hGB6zmV7vI5jPAJxTW6Br,audio_features,spotify:track:3hGB6zmV7vI5jPAJxTW6Br,0.607
266997,FALSE,0YeQtvlM0NBGneArOPR1Xw,Louise,59,3,Mipso,0.768,https://api.spotify.com/v1/audio-analysis/0YeQtvlM0NBGneArOPR1Xw,0.639,266998,0.381,2.25E-06,10,0.214,-9.428,1,0.0321,89.897,4,https://api.spotify.com/v1/tracks/0YeQtvlM0NBGneArOPR1Xw,audio_features,spotify:track:0YeQtvlM0NBGneArOPR1Xw,0.489
223280,TRUE,7kGOXJNLRBJ8WfIAYnFxfu,"Pop It, Shake It",51,1,YG,0.00206,https://api.spotify.com/v1/audio-analysis/7kGOXJNLRBJ8WfIAYnFxfu,0.819,223280,0.733,0,2,0.452,-3.532,1,0.117,98.988,4,https://api.spotify.com/v1/tracks/7kGOXJNLRBJ8WfIAYnFxfu,audio_features,spotify:track:7kGOXJNLRBJ8WfIAYnFxfu,0.117
221626,FALSE,21xou84xCn9aF4z2N5GzTK,Life's Too Short,54,3,Wild Party,0.0013,https://api.spotify.com/v1/audio-analysis/21xou84xCn9aF4z2N5GzTK,0.528,221627,0.851,0,6,0.0878,-5.187,1,0.029,93.02,4,https://api.spotify.com/v1/tracks/21xou84xCn9aF4z2N5GzTK,audio_features,spotify:track:21xou84xCn9aF4z2N5GzTK,0.483
198542,FALSE,0XNqkN0tn57270qeE5Shcf,Take It All,58,4,Pop Evil,0.000887,https://api.spotify.com/v1/audio-analysis/0XNqkN0tn57270qeE5Shcf,0.624,198542,0.916,0,7,0.0934,-4.931,0,0.0486,109.968,4,https://api.spotify.com/v1/tracks/0XNqkN0tn57270qeE5Shcf,audio_features,spotify:track:0XNqkN0tn57270qeE5Shcf,0.632
196653,TRUE,1hPajXXDa8dfTFABNZe2Ri,Mind Your Manners (feat. Icona Pop),53,4,Chiddy Bang,0.00399,https://api.spotify.com/v1/audio-analysis/1hPajXXDa8dfTFABNZe2Ri,0.696,196653,0.853,0,2,0.0843,-4.122,1,0.237,92.976,4,https://api.spotify.com/v1/tracks/1hPajXXDa8dfTFABNZe2Ri,audio_features,spotify:track:1hPajXXDa8dfTFABNZe2Ri,0.685
201426,FALSE,6LEpnhwG1zFp7rmSgzt9qr,Deal with the Devil,55,2,Pop Evil,0.000253,https://api.spotify.com/v1/audio-analysis/6LEpnhwG1zFp7rmSgzt9qr,0.611,201427,0.981,0.0155,6,0.0656,-3.503,1,0.0516,115.97,4,https://api.spotify.com/v1/tracks/6LEpnhwG1zFp7rmSgzt9qr,audio_features,spotify:track:6LEpnhwG1zFp7rmSgzt9qr,0.522
185426,FALSE,3KIUKvwteP1HFA5UcvvL11,Pop a Top,55,9,Alan Jackson,0.291,https://api.spotify.com/v1/audio-analysis/3KIUKvwteP1HFA5UcvvL11,0.699,185427,0.477,0,2,0.164,-9.339,1,0.031,118.382,4,https://api.spotify.com/v1/tracks/3KIUKvwteP1HFA5UcvvL11,audio_features,spotify:track:3KIUKvwteP1HFA5UcvvL11,0.83
189960,FALSE,0Z0iYAtKYswMYXL3kJtdO4,Chasin' Honey,53,7,Wild Party,0.0164,https://api.spotify.com/v1/audio-analysis/0Z0iYAtKYswMYXL3kJtdO4,0.524,189960,0.645,2.42E-06,7,0.0969,-5.041,1,0.0664,176.064,4,https://api.spotify.com/v1/tracks/0Z0iYAtKYswMYXL3kJtdO4,audio_features,spotify:track:0Z0iYAtKYswMYXL3kJtdO4,0.761
283360,FALSE,15BQ7vEDv2LJuh8TxWIhtd,The Passenger,62,4,Iggy Pop,0.0839,https://api.spotify.com/v1/audio-analysis/15BQ7vEDv2LJuh8TxWIhtd,0.495,283360,0.898,3.07E-06,0,0.55,-5.383,1,0.054,134.852,4,https://api.spotify.com/v1/tracks/15BQ7vEDv2LJuh8TxWIhtd,audio_features,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,0.746
261121,FALSE,3MVL733KX2m9G76qPnTttk,Tibetan Pop Stars,54,2,Hop Along,0.0719,https://api.spotify.com/v1/audio-analysis/3MVL733KX2m9G76qPnTttk,0.561,261122,0.707,0,4,0.0782,-7.038,1,0.0397,122.816,4,https://api.spotify.com/v1/tracks/3MVL733KX2m9G76qPnTttk,audio_features,spotify:track:3MVL733KX2m9G76qPnTttk,0.559
166173,TRUE,668DFatfdHGmq2s45NXiKD,Pop Another,52,10,Maxo Kream,0.228,https://api.spotify.com/v1/audio-analysis/668DFatfdHGmq2s45NXiKD,0.697,166174,0.835,0,1,0.44,-6.808,0,0.0469,115.025,4,https://api.spotify.com/v1/tracks/668DFatfdHGmq2s45NXiKD,audio_features,spotify:track:668DFatfdHGmq2s45NXiKD,0.506
186986,FALSE,2kAe8s00cKth2AfcLEbFi9,Hey DJ - Pop Version,60,1,CNCO,0.113,https://api.spotify.com/v1/audio-analysis/2kAe8s00cKth2AfcLEbFi9,0.721,186987,0.734,0,5,0.277,-4.266,1,0.0841,179.956,4,https://api.spotify.com/v1/tracks/2kAe8s00cKth2AfcLEbFi9,audio_features,spotify:track:2kAe8s00cKth2AfcLEbFi9,0.668
206786,FALSE,5cAokEuetqzaLMxhtQl4h2,Porsche (feat. MÃ˜),59,9,Charli XCX,0.0729,https://api.spotify.com/v1/audio-analysis/5cAokEuetqzaLMxhtQl4h2,0.847,206787,0.48,3.48E-06,9,0.131,-5.103,1,0.0523,144.946,4,https://api.spotify.com/v1/tracks/5cAokEuetqzaLMxhtQl4h2,audio_features,spotify:track:5cAokEuetqzaLMxhtQl4h2,0.481
231573,TRUE,7tjQl5EC72HBJRAKxP3Bvm,"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",60,5,Charli XCX,0.219,https://api.spotify.com/v1/audio-analysis/7tjQl5EC72HBJRAKxP3Bvm,0.829,231573,0.598,0,4,0.177,-6.18,0,0.294,141.902,4,https://api.spotify.com/v1/tracks/7tjQl5EC72HBJRAKxP3Bvm,audio_features,spotify:track:7tjQl5EC72HBJRAKxP3Bvm,0.651
